id,title,levelLimit,type,totalTimes,timeLimit,rewardExp,rewardMoney,rewardPop,rewardItemIds,rewardItemCounts,isDaily,sysOpId,desc,toTaskNpcID,tutorType,tutorInitFuns,tutorInitSubFuns,tutorFunction,tutorSubFunction,showOrHideFuns,tutorMapId,openTeleporterIds,isTutor,tutorTaskTab,isShowAutoFight,recommendFunction,instanceTutorFunction,destMapId,tutorInitUpFuns,tutorItemId
STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,ARRAY,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
100101,西行路上,1,2,0,0,100,150,0,0,0,0,0,有人要捉捕唐僧，找到他，让他暂时躲避。,1,2,7|1|2|5|3,1:1;5:1,5,1,1,,10000,1,1,,,,,,
100102,落魄师徒,1,2,0,0,100,150,0,0,0,0,0,见到唐僧师徒落魄的样子和传闻中完全不同。与唐僧对话。,1,2,7|1|2|5|3,1:1;5:1,5,1,1,,10000,1,1,,,,,,
100201,玄奘遇险,2,1,1,0,200,300,0,0,0,0,0,因为唐僧的倔强，追兵发现了众人。先去打发捉人的士兵，通关1次玄奘遇难。,0,1,7|1|2|5|3,1:1;5:1,5,1,1,-1101,10000,1,1,,,,-1101,,
100301,围捕,3,1,1,0,300,450,0,0,0,0,0,大喊抓人的国师都是动物成精，快救唐僧。通关1次围捕。,0,2,7|1|2|5|3,1:1;5:1,5,1,1,,10000,1,1,,,,-1111,,
100401,斗法失败,4,2,0,0,80,120,0,0,0,0,0,听到国师们指责唐僧，向他了解事情的经过。,1,2,7|1|2|5|3,1:1;5:1,5,1,1,,10000,1,1,,,,,,
100402,车迟国师,4,1,1,0,320,480,0,0,0,0,0,车迟国大国师亲自出手，悟空完全不作为，无奈只能靠自己了。通关1次车迟国师。,0,2,7|1|2|5|3,1:1;5:1,5,1,1,,10000,1,1,,,,-1121,,
100501,悟空,5,1,1,0,500,750,0,0,0,0,0,打退了车迟国的追兵，前面又围上一众猴兵。看悟空尴尬的表情就知道指望不上他了。通关1次悟空。,0,2,7|1|2|5|3,1:1;5:1,5,1,1,,10000,1,1,,,,-1131,,
100601,猴子叛变,6,1,1,0,600,900,0,0,0,0,0,猴王治下的花果山居然还出了叛军，而且明目张胆地跑来刺杀猴王。通关1次猴子叛变。,0,2,7|1|2|5|3|6,1:1;5:1;6:1,5,1,1,,10000,1,1,,,,-1141,,
100701,缚鸡之力,7,2,0,0,140,210,0,0,0,0,0,发现悟空不正常，像是法力全失。向唐僧了解原因。,1,2,7|1|2|5|3|6,1:1;5:1;6:1,5,1,1,,10000,1,1,,,,,,
100702,挫败感,7,1,1,0,560,840,0,0,0,0,0,看到五百年前一手建立的军队，矛头竟然对着自己，谁都会有深深的挫败感。通关1次挫败感。,0,2,7|1|2|5|3|6,1:1;5:1;6:1,5,1,1,,10000,1,1,,,,-1151,,
100801,昔日手足,8,1,1,0,800,1200,0,0,0,0,0,令猴王不敢相信的是，昔日最亲密的手足居然加入了推翻自己的行动。通关1次昔日手足。,0,2,7|1|2|5|3|6,1:1;5:1;6:1,5,1,1,,10000,1,1,,,,-1161,,
100901,五百年,9,1,1,0,900,1350,0,0,0,0,0,五百年的沧桑岁月改变了很多，悟空忽然有所感悟。阻止他轻生，通关1次五百年。,0,2,7|1|2|5|3|6,1:1;5:1;6:1,5,1,1,,10000,1,1,,,,-1171,,
101001,白衣谪仙,10,1,1,0,1000,1500,0,0,0,0,0,就在被叛军包围的时候，从天而降一位白衣女子，而悟空仿佛认得她。通关1次白衣谪仙。,0,2,7|1|2|5|3|6,1:1;5:1;6:1,5,1,1,,10000,1,1,,,,-1181,,
101003,通缉犯,10,2,0,0,200,300,0,0,0,0,0,暂时脱离危险后，众人竟成为通缉犯。与唐僧对话。,1,2,7|1|2|5|3|6|28,1:1;5:1;6:1;10:3|5;28:108|17,5,1,1,,10000,1,1,,,,,10,
101101,祭赛扫塔,11,2,0,0,220,330,0,0,0,0,0,悟空看上去已经振作起来，让他回忆一下在祭赛国扫塔的经历。,2,2,7|1|2|5|3|6|28,1:1;5:1;6:1;10:3|5;28:108|17,5,1,1,,10000,1,1,,,,,10,
101102,清白,11,1,1,0,880,1320,0,0,0,0,0,众人为了继续西行，决定前往祭赛国洗脱罪名。通关1次清白。,0,2,7|1|2|5|3|6|28,1:1;5:1;6:1;10:3|5;28:108|17,5,1,1,,10000,1,1,,,,-1191,10,
101201,潜入,12,1,1,0,1200,1800,0,0,0,0,0,皇宫戒备森严，冒险潜入失败。执行备用方案，闯进皇宫对质。通关1次潜入。,0,2,7|1|2|5|3|6|28,1:1;5:1;6:1;10:3|5;28:108|17,5,1,1,,10000,1,1,,,,-1201,10,
101301,国宝,13,1,1,0,1300,1950,0,11021,1,0,0,唐僧师徒被通缉好像与国宝有关。通关1次国宝。,0,2,7|1|2|5|3|6|28,1:1;5:1;6:1;10:3|5;28:108|17,5,1,1,,10000,1,1,,,,-1205,10,
101401,阴差阳错,14,2,0,0,280,420,0,0,0,0,0,得知祭赛国宝塔之中的国宝舍利被盗，守护神兽也被打伤。与唐僧对话。,1,2,7|1|2|5|3|6|28,1:1;5:1;6:1;10:3|5;28:108|17,5,1,1,,10000,1,1,,,,,10,
101402,神兽,14,1,1,0,1120,1680,0,0,0,0,0,神殿中的神兽突然发狂，合力制服他。通关1次神兽。,0,2,7|1|2|5|3|6|28,1:1;5:1;6:1;10:3|5;28:108|17,5,1,1,,10000,1,1,,,,-1211,10,
101501,入地狱,15,1,1,0,1500,2250,0,0,0,0,0,神兽早已死亡，众人听从悟空的建议，下地府询问神兽。通关1次入地狱。,0,2,7|1|2|5|3|6|28,1:1;5:1;6:1;10:3|5;28:108|17,5,1,1,,10000,1,1,,3|5,,-1221,10,
101601,鬼族内乱,16,1,1,0,1600,2400,0,0,0,0,0,地府里一片狼藉，好像十殿阎罗出了问题，鬼族开始混乱。通关1次鬼族内乱。,0,2,7|1|2|5|3|6|28,1:1;5:1|3;6:1|2;10:3|5;8:1;28:108|17,5,1,1,,10000,1,1,,3|5,,-1231,10|8,
101701,好机会,17,2,0,0,340,510,0,0,0,0,0,乘虚而入的好机会，找唐僧谈谈。,1,2,7|1|2|5|3|6|28,1:1;5:1|3;6:1|2;10:3|5;8:1;28:108|17,5,1,1,,10000,1,1,,3|5,,,10|8,
101702,改命,17,1,1,0,1360,2040,0,0,0,0,0,终于到了森罗殿外，现在只需要进去查生死薄。通关1次改命。,0,2,7|1|2|5|3|6|28,1:1;5:1|3;6:1|2;10:3|5;8:1;28:108|17,5,1,1,,10000,1,1,,3|5,,-1241,10|8,
101801,无常厉鬼,18,1,1,0,1800,2700,0,0,0,0,0,神兽被关押在无常鬼使手里，想要探明真相还要费一些周折。通关1次无常厉鬼。,0,2,7|1|2|5|3|6|13|28,1:1;5:1|3;6:1|2;10:3|5;8:1;28:108|17,5,1,1,,10000,1,1,,3|5,,-1251,10|8,
101901,命薄,19,1,1,0,1900,2850,0,0,0,0,0,生死薄中看到紫霞的名字，还有她将殒命的时刻和地点，居然只有几天时间了。通关1次命薄。,0,2,7|1|2|5|3|6|13|28,1:1;5:1|3;6:1|2;10:3|5;8:1;28:108|17,5,1,1,,10000,1,1,,3|5,,-1261,10|8,
102001,新线索,20,1,1,0,2000,3000,0,0,0,0,0,许下承诺后，终于从神兽口中套出真凶的线索。通关1次新线索。,0,2,7|1|2|5|3|6|13|28,1:1;5:1|3;6:1|2;10:2|3|5;8:1;28:108|17,5,1,1,,10000,1,1,,3|5,,-1271,10|8,
102101,神秘黑影,21,2,0,0,420,630,0,0,0,0,0,神兽所说真凶背后的神秘黑影，好像就是整个事件的主谋。与悟空对话。,2,2,7|1|2|5|3|6|13|28,1:1;5:1|3;6:1|2;10:2|3|5;8:1;28:108|17,5,1,1,,10000,0,1,,3|5,,,10|8,
102102,目击证人,21,1,1,0,1680,2520,0,0,0,0,0,经过一番追查，有人目击到真凶逃进河里了。通关次目击证人。,0,2,7|1|2|5|3|6|13|28,1:1;5:1|3;6:1|2;10:2|3|5;8:1;28:108|17,5,1,1,,10000,0,1,,3|5,,-1281,10|8,
102201,内奸,22,1,1,0,2200,3300,0,0,0,0,0,原来这目击者是对方派来的内奸，众人逐渐走进敌人的陷阱。通关1次内奸。,0,2,7|1|2|5|3|6|13|28,1:1;5:1|3;6:1|2;10:2|3|5;8:1;28:108|17,5,1,1,,10000,0,1,,3|5,,-1291,10|8,
